locus_tag	ftype	length_bp	gene	EC_number	COG	product
BPEKLNGJ_00001	CDS	1026	queA_1	2.4.99.17		S-adenosylmethionine:tRNA ribosyltransferase-isomerase
BPEKLNGJ_00002	CDS	1005	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
BPEKLNGJ_00003	CDS	603	ruvA_1	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
BPEKLNGJ_00004	CDS	459				hypothetical protein
BPEKLNGJ_00005	CDS	1293	obg_1	3.6.5.-		GTPase Obg
BPEKLNGJ_00006	CDS	285	rpmA_1			50S ribosomal protein L27
BPEKLNGJ_00007	CDS	321				hypothetical protein
BPEKLNGJ_00008	CDS	309	rplU_1			50S ribosomal protein L21
BPEKLNGJ_00009	CDS	531				hypothetical protein
BPEKLNGJ_00010	CDS	843	mreC		COG1792	Cell shape-determining protein MreC
BPEKLNGJ_00011	CDS	474				hypothetical protein
BPEKLNGJ_00012	CDS	285				hypothetical protein
BPEKLNGJ_00013	CDS	687				hypothetical protein
BPEKLNGJ_00014	CDS	708	comC			Type 4 prepilin-like proteins leader peptide-processing enzyme
BPEKLNGJ_00015	CDS	1272	fpgS	6.3.2.17		Folylpolyglutamate synthase
BPEKLNGJ_00016	CDS	2631	valS	6.1.1.9		Valine--tRNA ligase
BPEKLNGJ_00017	CDS	561	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
BPEKLNGJ_00018	CDS	1068				hypothetical protein
BPEKLNGJ_00019	CDS	1287	hemL1	5.4.3.8		Glutamate-1-semialdehyde 2,1-aminomutase 1
BPEKLNGJ_00020	CDS	975	hemB	4.2.1.24		Delta-aminolevulinic acid dehydratase
BPEKLNGJ_00021	CDS	669				hypothetical protein
BPEKLNGJ_00022	CDS	927	hemC	2.5.1.61		Porphobilinogen deaminase
BPEKLNGJ_00023	CDS	816				hypothetical protein
BPEKLNGJ_00024	CDS	1347	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
BPEKLNGJ_00025	CDS	591	engB			putative GTP-binding protein EngB
BPEKLNGJ_00026	CDS	1263	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
BPEKLNGJ_00027	CDS	1302	tig	5.2.1.8		Trigger factor
BPEKLNGJ_00028	CDS	930				hypothetical protein
BPEKLNGJ_00029	CDS	609				hypothetical protein
BPEKLNGJ_00030	CDS	357	rplT			50S ribosomal protein L20
BPEKLNGJ_00031	CDS	201	rpmI			50S ribosomal protein L35
BPEKLNGJ_00032	CDS	561	infC			Translation initiation factor IF-3
BPEKLNGJ_00033	CDS	1494	lysP_1		COG0833	Lysine-specific permease
BPEKLNGJ_00034	CDS	1938	thrS	6.1.1.3		Threonine--tRNA ligase
BPEKLNGJ_00035	CDS	921	dnaI		COG1484	Primosomal protein DnaI
BPEKLNGJ_00036	CDS	1401	dnaB		COG3611	Replication initiation and membrane attachment protein
BPEKLNGJ_00037	CDS	471	nrdR		COG1327	Transcriptional repressor NrdR
BPEKLNGJ_00038	CDS	1026	gapA2	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase 2
BPEKLNGJ_00039	CDS	624	coaE	2.7.1.24		Dephospho-CoA kinase
BPEKLNGJ_00040	CDS	873	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
BPEKLNGJ_00041	CDS	2631	polA	2.7.7.7		DNA polymerase I
BPEKLNGJ_00042	CDS	1488				hypothetical protein
BPEKLNGJ_00043	CDS	1665	sasA	2.7.-.-		Adaptive-response sensory-kinase SasA
BPEKLNGJ_00044	CDS	705	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
BPEKLNGJ_00045	CDS	1269	icd	1.1.1.42		Isocitrate dehydrogenase [NADP]
BPEKLNGJ_00046	CDS	1122	citZ	2.3.3.16	COG0372	Citrate synthase 2
BPEKLNGJ_00047	CDS	1362	cycA_1		COG1113	D-serine/D-alanine/glycine transporter
BPEKLNGJ_00048	CDS	807				IS1182 family transposase ISSau3
BPEKLNGJ_00049	CDS	828				IS1182 family transposase ISSau3
BPEKLNGJ_00050	CDS	1758	pyk	2.7.1.40		Pyruvate kinase
BPEKLNGJ_00051	CDS	969	pfkA	2.7.1.11		ATP-dependent 6-phosphofructokinase
BPEKLNGJ_00052	CDS	945	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
BPEKLNGJ_00053	CDS	858	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
BPEKLNGJ_00054	CDS	1230		1.1.1.38		NAD-dependent malic enzyme
BPEKLNGJ_00055	CDS	3198	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
BPEKLNGJ_00056	CDS	942	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
BPEKLNGJ_00057	CDS	1299	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
BPEKLNGJ_00058	CDS	414				hypothetical protein
BPEKLNGJ_00059	CDS	690				hypothetical protein
BPEKLNGJ_00060	CDS	1056		3.4.-.-		putative peptidase
BPEKLNGJ_00061	CDS	1119	ald2	1.4.1.1		Alanine dehydrogenase 2
BPEKLNGJ_00062	CDS	501				Putative universal stress protein
BPEKLNGJ_00063	CDS	1203	ackA	2.7.2.1		Acetate kinase
BPEKLNGJ_00064	CDS	948				hypothetical protein
BPEKLNGJ_00065	CDS	495	tpx	1.11.1.15		Thiol peroxidase
BPEKLNGJ_00066	CDS	771	yfcA		COG0730	putative membrane transporter protein YfcA
BPEKLNGJ_00067	CDS	1224	thiI	2.8.1.4	COG0301	putative tRNA sulfurtransferase
BPEKLNGJ_00068	CDS	1167	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
BPEKLNGJ_00069	CDS	1695	ezrA			Septation ring formation regulator EzrA
BPEKLNGJ_00070	CDS	465	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
BPEKLNGJ_00071	CDS	603	rpsD			30S ribosomal protein S4
BPEKLNGJ_00072	CDS	744	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
BPEKLNGJ_00073	CDS	447				hypothetical protein
BPEKLNGJ_00074	CDS	1161		1.12.-.-		Soluble hydrogenase 42 kDa subunit
BPEKLNGJ_00075	CDS	1605	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
BPEKLNGJ_00076	CDS	1131				hypothetical protein
BPEKLNGJ_00077	CDS	1467	nagP			PTS system N-acetylglucosamine-specific EIICB component
BPEKLNGJ_00078	CDS	618	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
BPEKLNGJ_00079	CDS	1275				hypothetical protein
BPEKLNGJ_00080	CDS	1263	tyrS	6.1.1.1		Tyrosine--tRNA ligase
BPEKLNGJ_00081	CDS	906	mrcA		COG5009	Penicillin-binding protein 1A
BPEKLNGJ_00082	CDS	2688	isdH			Iron-regulated surface determinant protein H
BPEKLNGJ_00083	CDS	1668	fhs	6.3.4.3		Formate--tetrahydrofolate ligase
BPEKLNGJ_00084	CDS	1707	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
BPEKLNGJ_00085	CDS	633	acuA	2.3.1.-		Acetoin utilization protein AcuA
BPEKLNGJ_00086	CDS	1170	acuC			Acetoin utilization protein AcuC
BPEKLNGJ_00087	CDS	990	ccpA			Catabolite control protein A
BPEKLNGJ_00088	CDS	1092	aroA_1		COG1605	Protein AroA(G)
BPEKLNGJ_00089	CDS	1518				hypothetical protein
BPEKLNGJ_00090	CDS	492				hypothetical protein
BPEKLNGJ_00091	CDS	1314	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
BPEKLNGJ_00092	CDS	3825				hypothetical protein
BPEKLNGJ_00093	CDS	597				hypothetical protein
BPEKLNGJ_00094	CDS	810				hypothetical protein
BPEKLNGJ_00095	CDS	312	ytpP			Thioredoxin-like protein YtpP
BPEKLNGJ_00096	CDS	1077	pepA_1	3.4.11.7	COG1363	Glutamyl aminopeptidase
BPEKLNGJ_00097	CDS	315				hypothetical protein
BPEKLNGJ_00098	CDS	843	ytnP	3.1.1.-	COG0491	putative quorum-quenching lactonase YtnP
BPEKLNGJ_00099	CDS	645	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
BPEKLNGJ_00100	CDS	792				hypothetical protein
BPEKLNGJ_00101	CDS	849	dat	2.6.1.21		D-alanine aminotransferase
BPEKLNGJ_00102	CDS	1410		3.4.13.-		Putative dipeptidase
BPEKLNGJ_00103	CDS	423				hypothetical protein
BPEKLNGJ_00104	CDS	696	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
BPEKLNGJ_00105	CDS	1662	murJ		COG2244	Lipid II flippase MurJ
BPEKLNGJ_00106	CDS	1269			COG2081	putative protein
BPEKLNGJ_00107	CDS	6561				hypothetical protein
BPEKLNGJ_00108	CDS	312		2.8.1.-	COG0607	Sulfurtransferase
BPEKLNGJ_00109	CDS	2418	leuS	6.1.1.4		Leucine--tRNA ligase
BPEKLNGJ_00110	CDS	1182	mdtH			Multidrug resistance protein MdtH
BPEKLNGJ_00111	CDS	954				hypothetical protein
BPEKLNGJ_00112	CDS	564				hypothetical protein
BPEKLNGJ_00113	CDS	402	rot			HTH-type transcriptional regulator rot
BPEKLNGJ_00114	CDS	828	ytpA	3.1.1.-	COG2267	Phospholipase YtpA
BPEKLNGJ_00115	CDS	1002	putB	1.5.5.2	COG0506	Proline dehydrogenase 2
BPEKLNGJ_00116	CDS	465	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
BPEKLNGJ_00117	CDS	1182	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
BPEKLNGJ_00118	CDS	633	ribE	2.5.1.9	COG0307	Riboflavin synthase
BPEKLNGJ_00119	CDS	1044	ribD		COG0117	Riboflavin biosynthesis protein RibD
BPEKLNGJ_00120	CDS	1503				hypothetical protein
BPEKLNGJ_00121	CDS	315				hypothetical protein
BPEKLNGJ_00122	CDS	1293	arsB		COG1055	Arsenical pump membrane protein
BPEKLNGJ_00123	CDS	396	arsC	1.20.4.4		Arsenate reductase
BPEKLNGJ_00124	CDS	855	atl_1		COG4193	Bifunctional autolysin
BPEKLNGJ_00125	CDS	225				hypothetical protein
BPEKLNGJ_00126	CDS	471	sigS		COG1595	RNA polymerase sigma factor SigS
BPEKLNGJ_00127	CDS	444				hypothetical protein
BPEKLNGJ_00128	CDS	444				hypothetical protein
BPEKLNGJ_00129	CDS	636				hypothetical protein
BPEKLNGJ_00130	CDS	714	tal	2.2.1.2	COG0176	Transaldolase
BPEKLNGJ_00131	CDS	303				hypothetical protein
BPEKLNGJ_00132	CDS	366	crcB_1			Putative fluoride ion transporter CrcB
BPEKLNGJ_00133	CDS	354	crcB_2		COG0239	Putative fluoride ion transporter CrcB
BPEKLNGJ_00134	CDS	834	yvgN	1.1.1.-	COG0656	Glyoxal reductase
BPEKLNGJ_00135	CDS	909				hypothetical protein
BPEKLNGJ_00136	CDS	1194	metK	2.5.1.6		S-adenosylmethionine synthase
BPEKLNGJ_00137	CDS	1593	pckA	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
BPEKLNGJ_00138	CDS	771				hypothetical protein
BPEKLNGJ_00139	CDS	480	ytkD	3.6.1.55	COG0494	Putative 8-oxo-dGTP diphosphatase YtkD
BPEKLNGJ_00140	CDS	258	yidD		COG0759	Putative membrane protein insertion efficiency factor
BPEKLNGJ_00141	CDS	1002	menC	4.2.1.113	COG4948	o-succinylbenzoate synthase
BPEKLNGJ_00142	CDS	1479	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
BPEKLNGJ_00143	CDS	483				hypothetical protein
BPEKLNGJ_00144	CDS	615				hypothetical protein
BPEKLNGJ_00145	CDS	996				hypothetical protein
BPEKLNGJ_00146	CDS	627				hypothetical protein
BPEKLNGJ_00147	CDS	684				hypothetical protein
BPEKLNGJ_00148	CDS	753	entC1_1			Enterotoxin type C-1
BPEKLNGJ_00149	CDS	225				hypothetical protein
BPEKLNGJ_00150	CDS	201				hypothetical protein
BPEKLNGJ_00151	CDS	447				hypothetical protein
BPEKLNGJ_00152	CDS	1086				hypothetical protein
BPEKLNGJ_00153	CDS	510				hypothetical protein
BPEKLNGJ_00154	CDS	348				hypothetical protein
BPEKLNGJ_00155	CDS	348				hypothetical protein
BPEKLNGJ_00156	CDS	1266				hypothetical protein
BPEKLNGJ_00157	CDS	1557	hsdM_1	2.1.1.72	COG0286	Type I restriction enzyme EcoKI M protein
BPEKLNGJ_00158	CDS	582				hypothetical protein
BPEKLNGJ_00159	CDS	474				hypothetical protein
BPEKLNGJ_00160	CDS	792				hypothetical protein
BPEKLNGJ_00161	CDS	99				hypothetical protein
BPEKLNGJ_00162	CDS	789				hypothetical protein
BPEKLNGJ_00163	CDS	495				hypothetical protein
BPEKLNGJ_00164	CDS	237				hypothetical protein
BPEKLNGJ_00165	CDS	777				hypothetical protein
BPEKLNGJ_00166	CDS	777	entG			Enterotoxin type G
BPEKLNGJ_00167	CDS	756	entA_1			Enterotoxin type A
BPEKLNGJ_00168	CDS	771	entC1_2			Enterotoxin type C-1
BPEKLNGJ_00169	CDS	729				hypothetical protein
BPEKLNGJ_00170	CDS	720				hypothetical protein
BPEKLNGJ_00171	CDS	765	entD_1			Enterotoxin type D
BPEKLNGJ_00172	tRNA	89				tRNA-Ser(gga)
BPEKLNGJ_00173	tRNA	74				tRNA-Glu(ttc)
BPEKLNGJ_00174	tRNA	75				tRNA-Asn(gtt)
BPEKLNGJ_00175	tRNA	74				tRNA-Gly(tcc)
BPEKLNGJ_00176	tRNA	75				tRNA-His(gtg)
BPEKLNGJ_00177	tRNA	73				tRNA-Phe(gaa)
BPEKLNGJ_00178	tRNA	76				tRNA-Asp(gtc)
BPEKLNGJ_00179	tRNA	74				tRNA-Met(cat)
BPEKLNGJ_00180	CDS	555	ydeN	3.-.-.-	COG3545	Putative hydrolase YdeN
BPEKLNGJ_00181	CDS	1401	hemY	1.3.3.4	COG1232	Protoporphyrinogen oxidase
BPEKLNGJ_00182	CDS	924	hemH	4.99.1.1		Ferrochelatase
BPEKLNGJ_00183	CDS	1038	hemE	4.1.1.37		Uroporphyrinogen decarboxylase
BPEKLNGJ_00184	CDS	504	traP			Signal transduction protein TRAP
BPEKLNGJ_00185	CDS	1224				hypothetical protein
BPEKLNGJ_00186	CDS	741	ecsA		COG1131	ABC-type transporter ATP-binding protein EcsA
BPEKLNGJ_00187	CDS	423	hit		COG0537	Protein hit
BPEKLNGJ_00188	CDS	366				hypothetical protein
BPEKLNGJ_00189	CDS	558				hypothetical protein
BPEKLNGJ_00190	CDS	963	prsA	5.2.1.8		Foldase protein PrsA
BPEKLNGJ_00191	CDS	942	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
BPEKLNGJ_00192	CDS	2937				hypothetical protein
BPEKLNGJ_00193	CDS	1197	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
BPEKLNGJ_00194	CDS	345				hypothetical protein
BPEKLNGJ_00195	CDS	1125				hypothetical protein
BPEKLNGJ_00196	CDS	465				hypothetical protein
BPEKLNGJ_00197	CDS	624	liaR		COG2197	Transcriptional regulatory protein LiaR
BPEKLNGJ_00198	CDS	1113				hypothetical protein
BPEKLNGJ_00199	CDS	822	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
BPEKLNGJ_00200	CDS	1386	fumC	4.2.1.2		Fumarate hydratase class II
BPEKLNGJ_00201	CDS	396				hypothetical protein
BPEKLNGJ_00202	CDS	153				hypothetical protein
BPEKLNGJ_00203	CDS	600	nagB_1	3.5.99.6		Glucosamine-6-phosphate deaminase
BPEKLNGJ_00204	CDS	471	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
BPEKLNGJ_00205	CDS	1128	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
BPEKLNGJ_00206	CDS	729	tcyC_1	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
BPEKLNGJ_00207	CDS	1458	mltF	4.2.2.-		Membrane-bound lytic murein transglycosylase F
BPEKLNGJ_00208	CDS	1062				hypothetical protein
BPEKLNGJ_00209	tRNA	84				tRNA-Leu(caa)
BPEKLNGJ_00210	tRNA	75				tRNA-Gly(tcc)
BPEKLNGJ_00211	tRNA	75				tRNA-Gly(tcc)
BPEKLNGJ_00212	tRNA	75				tRNA-Gly(tcc)
BPEKLNGJ_00213	tRNA	74				tRNA-Cys(gca)
BPEKLNGJ_00214	tRNA	72				tRNA-Gln(ttg)
BPEKLNGJ_00215	tRNA	74				tRNA-His(gtg)
BPEKLNGJ_00216	tRNA	74				tRNA-Trp(cca)
BPEKLNGJ_00217	tRNA	83				tRNA-Tyr(gta)
BPEKLNGJ_00218	tRNA	76				tRNA-Thr(tgt)
BPEKLNGJ_00219	tRNA	75				tRNA-Phe(gaa)
